Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
64,10965817,"Group 69","2023-11-12 20:39:02",144.205026,118,"erikalexandergrieg,gustavlokna,simenfritzer"
65,10981197,"[36] Gooseling hunters","2023-11-12 16:15:35",144.285041,111,"hansstemshaug,olejacobmellgren,peterllawrence"
66,11011031,"[52]My AI rocks","2023-11-12 10:23:37",144.378068,150,"jennifervo00,synnesjaavik"
67,10999743,"Tech Tiaras","2023-11-12 18:35:06",144.395001,64,"anesandvik,emilieelvebakk"
68,11113294,"I'm just Ken","2023-11-12 17:48:22",144.417846,73,"christianroh,hallvaeb,olavuk"
69,10982669,"Model Seducing Maestros[65]","2023-11-12 14:27:14",144.450640,156,"kajaerfjord,thomasstorvik"
70,10955673,"10 Timebenders","2023-11-12 13:38:47",144.679264,96,"beatricere,claudiodisalvo,raymo111"
71,10975975,"[054] K-means Krew","2023-11-12 18:20:13",144.699784,149,"danielhaugland,elibir,sindreaas"
72,11005660,"Random Forest Rangers","2023-11-12 19:23:59",144.816217,60,"andreszb,slimshahly"
73,10964785,"[53] Snåsamannen","2023-11-11 12:55:45",144.936741,113,"eriktjrandfrland,larsmartinlstad"
74,10955315,"[016]The Pizza Slice Embedding","2023-11-12 20:19:13",144.976249,190,"eirikreiestad,henriklarsen28,julievytran"
75,10961609,Group_25,"2023-11-12 19:17:51",145.217913,112,"henrietteameln,thalekrohnpettersen"
76,10966660,Barbie,"2023-11-12 17:58:19",145.302268,135,"hrlucy,jayshorey,marijansoric"
77,10962639,"Silly Goose Squad","2023-11-12 20:37:33",145.375186,139,"jrgennr,matsamble,thomasphilipfagerli"
0,11099473,"[VT] Shao RyKhan","2023-10-19 23:54:25",145.375722,1,
78,11205995,"[Deleted] 1de80626-3dcf-4a3c-92da-827cce18985b","2023-11-07 18:29:35",145.734484,2,del=9ff02d70215615ac
79,11163036,GranMaester,"2023-11-12 20:53:41",145.770904,51,matiasgranhenriksen
80,10970402,"[group 94] Gosling slayers","2023-11-12 16:23:15",145.843504,82,"andreastallvik,taheeraahmed"
81,10965685,"Binary Buffoons","2023-11-12 19:44:13",146.145968,107,"henrikmoewhre,martinskatvedt,matsellingsen"
82,10986406,080,"2023-11-12 20:25:41",146.185090,94,"kristofersejersted,roberthaug"
83,11004319,"Jabajaba doo","2023-11-12 20:45:48",146.259652,121,"pauluskh,petterlberg"
84,10967936,PCswappers,"2023-11-12 18:54:17",146.370709,45,"alicemadama,ariannacagali,oliversanchez"
85,10981243,"[84] The Hitchhiker's Ensemble","2023-11-12 15:55:18",146.467071,42,"mattiaslunddahlin,simeneidal"
86,10977313,"hello world","2023-11-12 18:47:06",146.507062,103,"henrikraa,stinkyelias"
0,11099471,"[VT] KenO","2023-10-19 23:53:44",146.527028,1,
87,10988955,"Lei-Cheng FC","2023-11-12 20:16:46",146.608792,114,"loghenrik,nasols,teodorbaranelindell"
88,11232967,"Gin og pikknikk","2023-11-12 19:11:36",146.746237,7,ginogpikknikk
89,11096644,"Go around and find out","2023-11-12 20:59:49",146.760222,80,"starwars123,vebjornwnilsen,vetlerasmussen"
90,11129085,"time out error","2023-11-12 16:01:04",147.009010,44,agnethekaasen
91,11219314,"Daske Musen","2023-11-12 17:54:12",147.081597,24,daskemusen
92,11232831,dåsemikkel,"2023-11-12 18:33:08",147.148845,8,dsemikkel
93,11010073,"51-Virtual Van Dijk","2023-11-12 16:02:13",147.347356,116,"matswiigmartinussen,nilspetteralfsen,pederb1108"
94,10982349,SindreFinnesDetEksternData,"2023-11-12 20:53:15",147.417172,41,"eirikvarnes,jathavaanshankarr"
95,11058740,FeatureForce,"2023-11-12 17:28:43",147.431992,68,"andrengan,jakobeik,youlduzfaryabi"
96,11010960,BitsLearning,"2023-11-12 16:58:09",147.702073,49,"gurorioberge,sigvelysne"
97,10953251,"Group 13 - Survival of the fit","2023-11-12 12:35:51",147.734745,101,"eirikhanssen,hansjakobhland,matiasflateb"
98,11225202,"Jostein Lorvik","2023-11-11 11:58:35",147.795961,14,josteinlorvik
0,10952991,"[VT] La La Lizard","2023-09-22 09:15:35",147.798979,1,
99,11219867,GoatBard,"2023-11-12 13:24:43",147.801210,29,larshalvorsen
100,10953946,Goslefoss,"2023-11-12 20:47:16",147.914205,35,kristianat
101,11225680,"Kristian M. Larsen","2023-11-11 23:55:26",147.998326,9,kristianmlarsen
102,11212117,"Bjorg Hansen","2023-11-12 12:26:54",148.100326,34,bjorghansen
103,11004273,"Group 89","2023-11-12 16:49:43",148.101251,108,"annaorlandi,quinten3007"
104,11218285,Gard99,"2023-11-12 13:46:19",148.374400,32,gard99
105,11220061,"Katinka johansen","2023-11-09 22:42:57",148.702481,6,katinkajohansen
106,11001352,"kule gutter","2023-11-12 19:25:17",148.908893,68,"madsolaveek,sigurdskatvedt,ulrikrornes"
107,11204534,"[Deleted] 590b2d52-8c5d-4379-be09-843ec5f52570","2023-11-11 18:46:05",149.172840,33,del=f883fe88c4a4d6f7
108,11010592,"Team hat","2023-11-12 09:07:02",149.233332,88,"andrineterland,hannagausnes,theastadsnes"
109,11218107,"Mina Ballz","2023-11-12 15:50:37",149.294569,32,minaballz
110,11012775,"Computer Teaching","2023-11-12 04:53:41",149.323294,25,"arkadiuszmikula,hubertmazur,karolinakrl"
111,10958184,"Group 83","2023-11-12 18:08:16",149.479410,66,"askiversylte,dortheamunch,jakobtssebro"
112,11197957,"[Deleted] dc580d93-e3d7-47e1-93fa-476ad52eaeb1","2023-11-09 18:45:02",149.491606,3,del=3efc323733bab037
113,10990760,"Boosting Bandits","2023-11-12 12:03:44",149.729815,108,"aldaraiglesiass,johanneshank,lucasredondo"
114,11199200,OverfitteRs99,"2023-11-09 21:32:07",149.845119,24,overfitters99
115,10953718,"[017] ignoring error messages","2023-11-12 14:13:03",149.900525,49,"kerinohugo,noehirschauer"
116,11001466,96,"2023-11-12 18:05:35",150.131520,58,kristoffereggan
117,10999039,Samh2oman,"2023-11-12 20:06:10",150.160059,26,"denniskrn,samh2oman,wesselterlaak"
118,10986358,"AI Avengers","2023-11-12 20:16:54",150.312437,50,"jonathanseckinger,kjellstadler"
119,10965114,"Yes we GAN","2023-11-12 20:14:18",150.671948,26,"andreasgranhylieng,gaylordoftheaether,kseniamordovets"
120,10970856,"♡₊˚⋆.✧࿔  Forecast Fairies [27]","2023-11-12 16:39:45",150.744378,79,"annikatorsvik,karenvillmones,milliea"
121,11000561,IsakDrage,"2023-11-12 18:10:01",150.782102,49,"isakdrage,thodorsm"
122,10999708,"Please få bedre enn random!","2023-11-12 20:46:59",151.271299,39,"atonywm,oresari,wilhelmsundelie"
123,11197973,team,"2023-11-09 14:35:51",151.447477,28,larshansensorensen
124,11009871,"Goup 98","2023-11-12 19:36:38",151.730986,78,"eriksalvesen,jesperelverum"
0,10952993,"[VT] Frostling","2023-09-22 09:15:57",151.852571,1,
125,10986538,[20]DetViktigsteErÅKoseSeg,"2023-11-12 18:58:15",152.403960,38,"martssi,mattiasnyttingnes,sanderklokk"
126,10984199,"[150] Martin did it in a week","2023-11-12 17:45:09",152.409530,25,"martafix,theonlymartin,vitsimecek"
127,11198158,"Hard mode any%","2023-11-12 20:09:09",152.451873,17,robinggranstrm
128,11104673,"I drive","2023-11-12 20:29:48",152.508370,55,"akselkatralen,fredrikeiding,kristofferkl"
129,10981801,"Bsahtek le ML","2023-11-12 17:56:22",152.521083,54,"arthurtestard,verdiernahel,vverdon"
130,10954315,2boyz0girlz,"2023-11-12 19:54:14",152.551878,29,"ebolsson,mathiasravnmunkvold"
131,10960827,Krøllebølle,"2023-11-12 20:33:18",152.911588,39,"clarahollenbeck,jakobcettihansen,niklasfalke"
132,10961178,"Gone in 59 seconds","2023-11-12 20:10:55",152.986478,56,"adriankv,ahouse00,arnepu"
133,11033999,"Paperclip maximisers","2023-11-12 16:58:22",153.203787,98,"edsonreistad,reeeeeeeeeeeeeee"
134,10982243,"31 - Passive Regressive","2023-11-12 19:35:32",153.250709,68,"n00bsownm3,sebb2o,vastrix"
135,10966319,"Mo' features, mo' problems 😎","2023-11-12 20:23:46",153.796704,41,"erlendjohanrvannebo,goosewhiteatruce,isakherrerasternes"
136,10965787,"Group 97","2023-11-12 20:08:11",154.199734,56,"oyvindvangsnes,peringenotland,sebastianaugustberg"
137,10953311,"Group 24","2023-11-12 19:55:11",154.221815,23,"einride,ingeborgmklemsdal,sanneolsen"
0,11099468,"[VT] Ryleena","2023-10-19 23:53:14",154.271484,1,
138,11007792,"La MarseillAIse","2023-11-12 18:05:03",154.553625,57,"olaiskogen,remitre,yoann225"
139,11175478,overfitters,"2023-11-03 11:23:51",154.830018,5,overfitters
140,10961947,245,"2023-11-12 15:31:53",155.080797,35,karlundheim
141,11116409,terreta,"2023-11-11 13:26:29",157.140903,13,"celiaigual,davidborregon,lucaspiggy"
142,10986328,"Geese nuts","2023-11-12 20:40:54",158.215474,52,"farhadismayilov,yngvelarsen"
143,11078476,Maskinlærling,"2023-11-12 20:04:10",158.750564,32,jonasjohannessen
144,10984219,🐥,"2023-11-12 13:57:25",159.025698,31,"karelponcar,miroslam,simonprasek"
145,10953437,"[Group 108]","2023-11-12 15:53:05",159.429917,56,"felixbbo,paulmichiels01"
146,11184458,"[Deleted] 40717435-6763-484b-870d-9a0fd10d9489","2023-11-04 22:43:12",159.573787,5,del=3a97a0200e077f94
147,11231048,fgeiuoshg,"2023-11-12 19:11:40",161.094598,7,fgeiuoshg
148,10964622,"Linear Regrets","2023-11-11 12:54:55",161.248430,25,maxgun
149,10958259,"team 091","2023-11-12 18:08:28",161.634664,17,"ameldk,exur00"
150,11063981,"Logistic Agression","2023-11-12 19:12:39",162.169355,27,"gjermundbae,martinbarthel"
151,11000221,"Group 103","2023-11-12 04:24:53",165.106082,3,verloune
152,11090935,SoloBolo,"2023-11-12 13:17:17",165.770256,17,simonengebu
0,10952997,"[VT] Gospion","2023-09-22 09:16:57",166.188040,1,
153,10965715,"The Turing Tribe [15]","2023-11-12 16:44:02",166.291931,35,"emilymalcolmson,erlingmathiasstaff,thorwiliiamvoster"
154,10972069,JeanGUN,"2023-11-12 18:25:24",166.638501,29,"del=77874e1babb70399,dzobamat"
155,10964425,SunnySolvers,"2023-11-12 20:58:29",170.221810,26,"kentrv,randsborg"
156,11125507,"Group 057","2023-11-12 20:15:53",171.236967,15,"esgalha,joofitas"
157,11005249,"Weekend warrior [180]","2023-11-12 20:46:14",173.649195,23,mariusho
158,11038284,group257,"2023-11-12 12:57:52",174.721439,2,torbjrn
159,11110903,G110,"2023-11-12 20:12:30",175.271820,18,"maylinelepolles,monteroflorian,romaincolombet"
160,11010172,"wrong user","2023-10-13 12:26:07",177.490551,1,elintoverud
161,10986256,we,"2023-11-12 16:42:59",178.720340,15,"alexispouillieute1,colinthomasntnu,louiseruyer"
0,10952996,"[VT] Kenshi","2023-09-22 09:16:45",183.506486,1,
162,11204225,"[Deleted] 89c265ec-9c74-4242-a9b4-d03f35002376","2023-11-07 15:06:09",187.268890,2,del=ddd8fe8358e70efb
163,11028899,"Team Lyngsvarten","2023-11-12 20:15:55",196.482360,11,minastensaker
0,10952992,"[VT] Quan Gos Chill","2023-09-22 09:15:48",341.054081,1,
164,11193153,"Group 214","2023-11-12 16:18:49",380.082375,31,lorenamariazvunka
0,10952994,"[VT] Gosborg 2049","2023-09-22 09:16:11",439.341611,1,
165,11204794,Hello,"2023-11-11 19:53:07",516.495349,7,jean952
166,11096918,"Henri00 [175]","2023-10-19 13:38:03",528.568502,1,henri00
167,11016248,havtei,"2023-10-29 20:08:59",569.575884,2,havtei
